id,user_id,"firstname","lastname","city","state","country","zipcode","phone_number","description","gender",birth_day,"birth_month",birth_year,"relationship_status","occupation","school","company","website","facebook","twitter","flickr","linkedin","languages","hobbies","created_at","updated_at","sexual_orientation","most_attractive_feature","ethnicity","height","body_type","hair_color","eye_color","tattoos","piercings","zodiac","religion","exercise","smoking","drinking","kids","pets","looking_for_gender",looking_for_age_min,looking_for_age_max,"looking_for_ethnicity","looking_for_body_type","looking_for_location","looking_for_relationship_status","partner_expectation"
11,11,"Richard","Jackson","Miami","Florida","US","33165",NULL,NULL,NULL,20,"May",1950,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:05","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Taurus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,12,"Helena","Grant","Saratoga Springs","New York","US","12866",NULL,NULL,NULL,8,"Dec",1949,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:05","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sagittarius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,13,"Carol","Kirk","Chicago","Illinois","US","60657",NULL,NULL,NULL,20,"Mar",1969,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:05","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pisces",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,14,"Jennifer","Clarkson","Easton","Maryland","US","21601",NULL,NULL,NULL,23,"Feb",2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:05","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pisces",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,15,"Harold","Clarke","Phoenixville","Pennsylvania","US","19465",NULL,NULL,NULL,21,"Sep",1942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:06","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Virgo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,16,"Lisa","Clarke","Chicago","Illinois","US","60015",NULL,NULL,NULL,22,"Oct",1995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:06","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Libra",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,17,"Kevin","White","Atlanta","Georgia","US","30339",NULL,NULL,NULL,21,"Nov",1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:06","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Scorpio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,18,"Diana","Harris","Concord","New Hampshire","US","03301",NULL,NULL,NULL,21,"Aug",1960,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:06","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Leo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,19,"John","Grant","Northbrook","Illinois","US","60062",NULL,NULL,NULL,8,"Sep",1982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:06","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Virgo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,20,"Deborah","Thomas","Annapolis","Maryland","US","21401",NULL,NULL,NULL,9,"Dec",1966,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:06","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sagittarius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,21,"Brian","Dent","Chicago","Illinois","US","60622",NULL,NULL,NULL,5,"Jul",1970,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:06","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Cancer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,22,"Mark","Miller","Chicago","Illinois","US","60611",NULL,NULL,NULL,29,"May",2007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:06","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gemini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,23,"Cheryl","Abel","Oakland Park","Florida","US","33334",NULL,NULL,NULL,11,"Jul",1970,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:07","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Cancer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,24,"Cheryl","Brown","New York","New York","US","10011",NULL,NULL,NULL,10,"Oct",1984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:07","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Libra",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,25,"Edward","Baker","Red Bank","New Jersey","US","07701",NULL,NULL,NULL,13,"May",1946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:07","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Taurus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,26,"Wendy","Lewis","Buffalo","New York","US","14225",NULL,NULL,NULL,4,"Apr",1983,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:07","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aries",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,27,"Deborah","Jackson","Roswell","Georgia","US","30075",NULL,NULL,NULL,16,"Nov",1966,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:07","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Scorpio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,28,"Jennifer","Johnson","Hewlett","New York","US","11557",NULL,NULL,NULL,5,"Oct",1991,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:07","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Libra",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,29,"Nancy","Kirk","Whittier","California","US","90601",NULL,NULL,NULL,29,"Dec",1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:07","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Capricorn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,30,"Sarah","Martin","Providence","Rhode Island","US","02903",NULL,NULL,NULL,25,"Oct",1952,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:07","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Scorpio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,31,"Steven","White","Arlington","Massachusetts","US","02474",NULL,NULL,NULL,19,"Jan",1963,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:07","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Capricorn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,32,"David","Garcia","Chicago","Illinois","US","60611",NULL,NULL,NULL,29,"May",1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:08","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gemini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,33,"Lucy","Smythe","Washington","District Of Columbia","US","20002",NULL,NULL,NULL,14,"Oct",2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:08","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Libra",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,34,"Sandra","Jones","Boston","Massachusetts","US","02115",NULL,NULL,NULL,7,"Jan",1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:08","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Capricorn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,35,"Tabitha","Robinson","Arlington","Virginia","US","22207",NULL,NULL,NULL,6,"Jun",1945,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:08","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gemini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,36,"Christopher","Williams","Houston","Texas","US","77005",NULL,NULL,NULL,29,"Jul",1944,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:08","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Leo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,37,"Daniel","White","Millburn","New Jersey","US","07041",NULL,NULL,NULL,13,"Aug",2007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:08","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Leo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,38,"Edgar","Thatcher","Baltimore","Maryland","US","21230",NULL,NULL,NULL,30,"Jun",2007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:08","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Cancer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,39,"William","Washington","Houston","Texas","US","77077",NULL,NULL,NULL,6,"Jun",1961,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:08","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gemini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,40,"Judith","Thompson","Atlanta","Georgia","US","30305",NULL,NULL,NULL,22,"Mar",1945,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:08","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aries",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,41,"Mary","Harris","Toronto","Ontario","CA","M5V 3G7",NULL,NULL,NULL,27,"Oct",1959,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:09","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Scorpio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,42,"Robert","Jackson","New York","New York","US","10012",NULL,NULL,NULL,5,"Nov",1963,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:09","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Scorpio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,43,"Anthony","Harris","New York","New York","US","10016",NULL,NULL,NULL,30,"Dec",1989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:09","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Capricorn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,44,"Patricia","Miller","Atlanta","Georgia","US","30342",NULL,NULL,NULL,6,"Mar",1974,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:09","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pisces",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,45,"Anne","Thompson","Quincy","Massachusetts","US","02169",NULL,NULL,NULL,27,"Apr",1945,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:09","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Taurus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,46,"Fiona","Wilson","Cambridge","Massachusetts","US","02142",NULL,NULL,NULL,16,"Jun",1942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:09","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gemini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,47,"Jason","Robertson","Boston","Massachusetts","US","02116",NULL,NULL,NULL,9,"Apr",1991,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:09","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aries",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,48,"Helen","Miller","New York","New York","US","10001",NULL,NULL,NULL,18,"Mar",1988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:09","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pisces",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,49,"Maria","Miller","Toronto","Ontario","CA","M5L 1G4",NULL,NULL,NULL,23,"Jan",1995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:10","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aquarius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,50,"Robert","Robertson","Pomona","California","US","91768",NULL,NULL,NULL,4,"Mar",1991,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:10","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pisces",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,51,"Kenneth","Davidson","Rochester","New York","US","14607",NULL,NULL,NULL,14,"Jun",1968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:10","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gemini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,52,"Lucy","Thomas","College Station","Texas","US","77840",NULL,NULL,NULL,1,"Apr",1969,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:10","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aries",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,53,"Linda","Williams","Hull","Massachusetts","US","02043",NULL,NULL,NULL,17,"Jun",2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:10","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gemini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,54,"William","White","New York","New York","US","10004",NULL,NULL,NULL,12,"Aug",1987,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:10","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Leo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,55,"Joseph","Lewis","New York","New York","US","10004",NULL,NULL,NULL,2,"Jun",1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:10","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gemini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,56,"Judith","Burrows","New York","New York","US","10003",NULL,NULL,NULL,3,"Dec",2008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:10","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sagittarius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,57,"Beryl","Clarkson","Whistler","British Columbia","CA","V0N 1B4",NULL,NULL,NULL,18,"Jan",1976,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:10","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Capricorn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,58,"Ronald","Jeffries","Dover","New Jersey","US","07869",NULL,NULL,NULL,18,"Sep",1951,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:11","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Virgo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,59,"Cheryl","Smith","Los Angeles","California","US","90049",NULL,NULL,NULL,10,"Apr",1955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:11","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aries",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,60,"Ursula","Oates","Chicago","Illinois","US","60610",NULL,NULL,NULL,8,"Feb",1962,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:11","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aquarius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
